chaps_id,birthdate,sire,dam,,regnum,regname,elecID,sex,sex_date,breed,birth_weight,status,,,,,,
15410,1/29/2008,X4135495,4045291,,X4146277,,,,,SH,,,,,,,,
15411,1/26/2008,X4135495,AR38389,,X4146272,,,,,SH,,,,,,,,
15412,,UNKN,,,,,,,,,,,,,,,,
15413,,,,,,,,,,AN,,,,,,,,
15414,,,,,,,,,,AR,,,,,,,,
15415,,,,,,,,,,CH,,,,,,,,
15416,,,,,,,,,,GV,,,,,,,,
15417,,,,,,,,,,HH,,,,,,,,
15418,,,,,,,,,,LM,,,,,,,,
15419,,,,,,,,,,LO,,,,,,,,
15420,,,,,,,,,,SH,,,,,,,,
15421,,,,,,,,,,SM,,,,,,,,
15422,2/10/2008,969339,1109562,,1238605,,982000128138375,,,AR,,,,,,,,
15423,3/8/2008,1037373,1109688,,1238639,,982000128138433,,,AR,,,,,,,,
15424,3/10/2008,BANDS152,ZINA237P,,1238507,,,,,AR,,,,,,,,
15425,3/19/2008,1037373,1109610,,1238616,,949000000009466,,,AR,,,,,,,,
15426,3/23/2008,JUL364R,CHEN224N,,1238503,,,,,AR,,,,,,,,
15427,3/30/2008,1037373,1037410,,1238536,,949000000076854,,,AR,,,,,,,,
15428,3/10/2008,MARIA548,PAND9498,,1238678,,,,,AR,,,,,,,,
15429,3/11/2008,ROB8621,ZINA9811,,1238662,,,,,AR,,,,,,,,
15430,3/20/2009,14899673,15801947,,16547366,,,,,AN,,,,,,,,
15431,3/11/2009,387580,834374,,1317982,,,,,AR,,,,,,,,
15432,3/12/2009,387580,834374,,1317985,,949000000197589,,,AR,,,,,,,,
15433,3/13/2009,14899673,15998427,,16547369,,,,,AN,,,,,,,,
15434,3/13/2009,14899673,15998426,,16547370,,,,,AN,,,,,,,,
15435,3/5/2009,960383,834374,,1317950,,949000000248689,,,AR,,,,,,,,
15436,3/7/2009,657222,605263,,1317946,,949000000195814,,,AR,,,,,,,,
15437,3/31/2009,14899673,15639990,,16547374,,,,,AN,,,,,,,,
15438,5/23/2009,MLKC7160,SMJS224,,1325074,,,,,AR,,,,,,,,
15439,3/19/2009,1111871,823454,,1337167,,,,,AR,,,,,,,,
15440,4/1/2009,1111871,1031383,,1337190,,,,,AR,,,,,,,,
15441,4/6/2009,1039200,1198494,,1337204,,,,,AR,,,,,,,,
15442,4/9/2009,1187150,575560,,1337162,,,,,AR,,,,,,,,
15443,4/11/2009,921761,1033917,,1337111,,,,,AR,,,,,,,,
15444,4/23/2009,,,,,,,,,AR,,,,,,,,
15445,,,,,,WHITMORE AR BULLS,,,,AR,,,,,,,,
15446,,,,,,,,,,,,,,,,,,
15449,3/5/2010,UNKNAR,U8190,,,,982000128138675,,,ARLOHHAR,,,,,,,,
15450,3/7/2010,UNKNAR,U8235,,,,982000128138532,,,ARLOAN,,,,,,,,
15451,3/18/2010,UNKNAR,S6040,,,,999000000013061,,,ARLOANHH,,,,,,,,
15452,3/18/2010,UNKNAR,R5043,,,,982000128138539,,,ARLOANAN,,,,,,,,
15453,3/19/2010,V532,N3087,,,,982000128138881,,,ARLOAN,,,,,,,,
15454,3/27/2010,V108,S6096,,,,982000128138659,,,ARLOLOAN,,,,,,,,
15455,3/30/2010,V529,S6273,,,,982000128138525,,,ARLOANAN,,,,,,,,
15457,4/4/2010,UNKNAR,U8163,,,,982000128138721,,,ARARLOLO,,,,,,,,
15458,4/7/2010,UNKNAR,S6197,,,,982000128138695,,,ARLOANHH,,,,,,,,
15459,5/26/2010,7057,8007,,1393930,,982000128138295,,,AR,,,,,,,,
15460,6/4/2010,791-9065,6158,,1393949,,,,,AR,,,,,,,,
15461,3/18/2011,M398,P4108,,,,982000172933728,,,LOLOANHH,,,,,,,,
15462,4/13/2011,M398,P4082,,,,982000172933738,,,LOLOANGV,,,,,,,,
