chaps_id,birthdate,breed,regnum,regname,elecid,sireid,dam,sex,sex_date,Bw,CE,state,herdid
20413,2008-04-11,AR,1242050,,,U58,958997,1,,,,,H38
20414,2008-04-11,AR,1242051,,,U59,971785,1,,,,,H38
20415,2008-04-14,AR,1242075,,,U70,HIHO3007,1,,,,,H38
20416,2008-01-21,SH,X4148364,,,U8501,X4121211,1,,,,,H38
20417,2008-01-20,SH,X4146285,,,U8502,X4101844,1,,,,,H38
20418,2008-01-23,SH,85 1 23 29S3,,,U8503,X4121225,1,,,,,H38
20419,2008-01-28,SH,X4146280,,,U8504,X4101842,1,,,,,H38
20420,2008-02-02,SH,X4146288,,,U8505,AR38387,1,,,,,H38
20421,2008-01-29,SH,X4146277,,,U8506,4045291,1,,,,,H38
20422,2008-01-26,SH,X4146272,,,U8507,AR38389,1,,,,,H38
20423,,,,,,UNKN,,1,,,,,H38
20424,,AN,,,,UNKNAN,,1,,,,,H38
20425,,AR,,,,UNKNAR,,1,,,,,H38
20426,,CH,,,,UNKNCH,,1,,,,,H38
20427,,GV,,,,UNKNGV,,1,,,,,H38
20428,,HH,,,,UNKNHH,,1,,,,,H38
20429,,LM,,,,UNKNLM,,1,,,,,H38
20430,,LO,,,,UNKNLO,,1,,,,,H38
20431,,SH,,,,UNKNSH,,1,,,,,H38
20432,,SM,,,,UNKNSM,,1,,,,,H38
20433,,LO,,,,UTAH,,1,,,,,H38
20434,2008-02-10,AR,1238605,,9.82E+14,V005,1109562,1,,,,,H38
20435,2008-03-08,AR,1238639,,,V103,1109688,1,,,,,H38
20436,2008-03-10,AR,1238507,,,V108,ZINA237P,1,,,,,H38
20437,2008-03-19,AR,1238616,,,V131,1109610,1,,,,,H38
20438,2008-03-23,AR,1238503,,,V146,CHEN224N,1,,,,,H38
20439,2008-03-30,AR,1238536,,9.49E+14,V162,1037410,1,,,,,H38
20440,2008-03-10,AR,1238678,,,V529,PAND9498,1,,,,,H38
20441,2008-03-11,AR,1238662,,,V532,ZINA9811,1,,,,,H38
20442,2009-03-20,AN,16547366,,,W02,15801947,1,,,,,H38
20443,2009-03-11,AR,1317982,,,W039,834374,1,,,,,H38
20444,2009-03-12,AR,1317985,,9.49E+14,W045,834374,1,,,,,H38
20445,2009-03-13,AN,16547369,,,W09,15998427,1,,,,,H38
20446,2009-03-13,AN,16547370,,,W11,15998426,1,,,,,H38
20447,2009-03-05,AR,1317950,,9.49E+14,W12,834374,1,,,,,H38
20448,2009-03-07,AR,1317946,,9.49E+14,W17,605263,1,,,,,H38
20449,2009-03-31,AN,16547374,,,W27,15639990,1,,,,,H38
20450,2009-05-23,AR,1325074,,,W78,SMJS224,1,,,,,H38
20451,2009-03-19,AR,1337167,,,W9161,823454,1,,,,,H38
20452,2009-04-01,AR,1337190,,,W9221,1031383,1,,,,,H38
20453,2009-04-06,AR,1337204,,,W9239,1198494,1,,,,,H38
20454,2009-04-09,AR,1337162,,,W9245,575560,1,,,,,H38
20455,2009-04-11,AR,1337111,,,W9247,1033917,1,,,,,H38
20456,2009-04-23,AR,,,,W98,,1,,,,,H38
20457,,AR,,WHITMORE AR BULLS,,WHIT,,1,,,,,H38
20458,,,,,,WIX425,,1,,,,,H38
20459,2010-02-23,ANARANHH,,,9.82E+14,X0004,U8076,1,,,,,H38
20460,2010-03-04,ANGV,,,9.82E+14,X0021,U8380,1,,,,,H38
495,2010-03-05,ARLOHHAR,,,9.82E+14,X0025,U8190,1,,,,,H38
500,2010-03-07,ARLOAN,,,9.82E+14,X0033,U8235,1,,,,,H38
519,2010-03-18,ARLOANHH,,,9.99E+14,X0061,S6040,1,,,,,H38
520,2010-03-18,ARLOANAN,,,9.82E+14,X0062,R5043,1,,,,,H38
521,2010-03-19,ARLOAN,,,9.82E+14,X0069,N3087,1,,,,,H38
531,2010-03-27,ARLOLOAN,,,9.82E+14,X0100,S6096,1,,,,,H38
537,2010-03-30,ARLOANAN,,,9.82E+14,X0126,S6273,1,,,,,H38
20468,2010-04-01,ARLOARAN,,,9.82E+14,X0132,N3343,1,,,,,H38
543,2010-04-04,ARARLOLO,,,9.82E+14,X0155,U8163,1,,,,,H38
545,2010-04-07,ARLOANHH,,,9.82E+14,X0167,S6197,1,,,,,H38
20471,2010-05-26,AR,1393930,,9.82E+14,X146,8007,1,,,,,H38
20472,2010-06-04,AR,1393949,,,X187,6158,1,,,,,H38
20473,2011-05-14,AR,1473021,006Z5ID,9.49E+14,Y066,5069,1,,,,,H38
608,2011-03-18,LOLOANHH,,,9.82E+14,Y1076,P4108,1,,,,,H38
636,2011-04-13,LOLOANGV,,,9.82E+14,Y1199,P4082,1,,,,,H38
20476,2011-05-24,AR,1473096,006Z5ID,9.49E+14,Y142,9002,1,,,,,H38
20477,2012-02-20,GV,1213705,006Z5ID,,Z14,1149660,1,,,,,H38
20478,2012-05-26,SMAN,,006Z5ID,9.49E+14,Z2107,P4003,1,,,,,H38
20479,2012-04-16,GV,1213661,006Z5ID,9.49E+14,Z96,826927,,,,,,H38
